instrument_id,asset_class,instrument_type,market_value,face_value,coupon,yield,maturity_years,macaulay_duration,modified_duration,convexity,dv01,spread_duration,rating,currency,liquidity_score
I012,Euro Government Bonds,Bond,12.369202730995966,12.252527118732575,0.03353997523499164,0.032,6.735886749834964,6.35781351960346,6.160672015119632,46.19082536295745,0.007620260111418816,0.0,AA-,EUR,0.9
I013,Euro Government Bonds,Bond,14.30937630434883,14.44307762339691,0.03079995760604609,0.032,9.219300872230452,7.990467329335881,7.742700900519265,71.98051028840939,0.01107932207975507,0.0,AA-,EUR,0.9
I014,IG Corporate Bonds,Bond,156.2516560580602,152.20652068933234,0.04239525107365763,0.038,6.920827759636841,6.213649691457606,5.98617503993989,44.24950207296069,0.09353497634440326,4.8,A,EUR,0.75
I015,IG Corporate Bonds,Bond,29.15679462533118,29.440952650438156,0.035353548278577805,0.038,4.316212676030913,3.7986426111897633,3.659578623496882,17.320392242256187,0.010670158234055078,4.8,A,EUR,0.75
I016,IG Corporate Bonds,Bond,75.67477458078304,78.09996300040608,0.03106394061506859,0.038,5.075116166783353,4.702243467198843,4.530099679382316,25.643027908638754,0.03428142720657343,4.8,A,EUR,0.75
I017,IG Corporate Bonds,Bond,18.853566047277248,18.615918452184356,0.0401112168499821,0.038,6.714938743834893,6.245868608864009,6.017214459406559,44.56603102278059,0.011344595023105322,4.8,A,EUR,0.75
I018,IG Corporate Bonds,Bond,7.563208688548378,7.3800803457573725,0.04354258829798463,0.038,5.2440569464911295,4.605384348512298,4.4367864629212885,24.927165573530896,0.0033556341925600123,4.8,A,EUR,0.75
I019,High Yield Bonds,Bond,4.319470377325022,4.269634337357838,0.06741110733413379,0.065,5.543680419024769,5.134462970016416,4.821091990625742,29.980318282912844,0.0020824564039866817,3.0,BB,EUR,0.55
I020,High Yield Bonds,Bond,0.9718988474323355,0.9706337239758519,0.06638812040821752,0.065,1.4948784188569428,1.0,0.9389671361502347,1.7633185655403472,9.125810774012541e-05,3.0,BB,EUR,0.55
I021,High Yield Bonds,Bond,0.1962019855551969,0.19412305240024158,0.0681260907842468,0.065,4.074283710593054,3.635473243190339,3.4135898997092387,15.50167140699337,6.697531161941182e-05,3.0,BB,EUR,0.55
I022,High Yield Bonds,Bond,3.9732619123765587,3.974255309358724,0.0649270365694036,0.065,3.7535942810159635,3.648782312318053,3.4260866782329136,15.579494145513525,0.0013612739707123556,3.0,BB,EUR,0.55
I023,High Yield Bonds,Bond,48.039166877310876,48.749241045550605,0.06149495324502317,0.065,5.082847579440014,4.448732033913866,4.177213177383912,22.591548518355577,0.020066984091044775,3.0,BB,EUR,0.55
I024,Euro Equities,Equity,92.0,92.0,0.0,0.03,,0.0,0.0,0.0,0.0,0.0,NR,EUR,0.95
I025,US Equities,Equity,57.5,57.5,0.0,0.015,,0.0,0.0,0.0,0.0,0.0,NR,USD,0.95
I026,Global Equities,Equity,23.0,23.0,0.0,0.02,,0.0,0.0,0.0,0.0,0.0,NR,Mixed,0.9
I027,Real Estate,Real asset,92.0,92.0,0.0,0.04,,0.0,0.0,0.0,0.0,0.0,NR,EUR,0.3
I028,Infrastructure,Real asset,69.0,69.0,0.0,0.045,,0.0,0.0,0.0,0.0,0.0,NR,EUR,0.2
I029,Private Debt,Private debt,5.104729873375346,5.115738436621708,0.05728789990112266,0.058,6.028843363330106,3.1985863176136764,3.023238485457161,14.545523415362428,0.0015432815811051207,3.5,BBB,EUR,0.1
I030,Private Debt,Private debt,9.585996092526388,9.442215160415932,0.0630390206454345,0.058,6.0743271670591374,3.1873897601128545,3.0126557278949475,14.466705902792707,0.0028879306035728214,3.5,BBB,EUR,0.1
I031,Private Debt,Private debt,0.46028121048325643,0.47141309225070666,0.05170569451823913,0.058,8.04499837294658,3.989722345710747,3.7710041074770766,22.315358868014048,0.0001735722335326881,3.5,BBB,EUR,0.1
I032,Private Debt,Private debt,16.196856105093055,16.095252633959593,0.05986027403405353,0.058,6.501324079758283,3.5854745228099367,3.3889173183458756,18.153477522271395,0.005488980615730598,3.5,BBB,EUR,0.1
I033,Private Debt,Private debt,3.152136718521957,3.1859612727723157,0.05397334026009172,0.058,4.840436673683215,2.795354790187599,2.6421122780601123,11.237801688360491,0.0008328299126130976,3.5,BBB,EUR,0.1
